CTD,20171109CCHSIO
# SHIP: Roger Revelle
# Cruise: I8S.2007
# DATES: 20070204 - 20070317
# Region: far SE Indian Ocean
# Chief Scientist: J.Swift, A. Wong
# CTDO: Who - James Swift/SIO; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327 stations 1:68,83:88
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:490 stations 69:82
# CDOM Fluorometer (CTDCDOMFRAW) : Who - Norm Nelson-UCSB, Dave Siegel-UCSB; Status - final
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm; SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070204
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
# EVENT_CODE = unknown
# DEPTH_TYPE = unknown
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# Changed SECT_ID value from I8S to I08S to match CCHDO Lines
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: 02801_ct1.csv 
# CTD,20070314SIO - Previous Time Stamp 
NUMBER_HEADERS = 11
EXPOCODE = 33RR20070204
SECT_ID = I08S
STNNBR = 28
CASTNO = 1
DATE = 20070222
TIME = 0941
LATITUDE = -56.4837
LONGITUDE = 83.7697
DEPTH =  4738
INSTRUMENT_ID = 381
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,0-5VDC,,/METER,
       0.0,2,    2.1650,2,   33.8552,2,     327.7,2,         1,     247.1,     0.148,2,    0.1442,2
       2.0,2,    2.1640,2,   33.8549,2,     327.7,2,         1,     271.0,     0.149,2,    0.1433,2
       4.0,2,    2.1630,2,   33.8546,2,     327.8,2,        48,     294.8,     0.149,2,    0.1417,2
       6.0,2,    2.1620,2,   33.8543,2,     328.0,2,       144,     318.6,     0.150,2,    0.1409,2
       8.0,2,    2.1569,2,   33.8539,2,     326.8,2,       156,     337.2,     0.151,2,    0.1413,2
      10.0,2,    2.1533,2,   33.8542,2,     330.0,2,       129,     347.4,     0.152,2,    0.1425,2
      12.0,2,    2.1507,2,   33.8542,2,     329.1,2,       154,     359.9,     0.153,2,    0.1433,2
      14.0,2,    2.1515,2,   33.8540,2,     329.1,2,       191,     370.1,     0.153,2,    0.1433,2
      16.0,2,    2.1585,2,   33.8543,2,     329.1,2,       119,     379.3,     0.156,2,    0.1425,2
      18.0,2,    2.1511,2,   33.8540,2,     328.8,2,       105,     388.6,     0.154,2,    0.1425,2
      20.0,2,    2.1488,2,   33.8540,2,     329.4,2,       120,     397.3,     0.151,2,    0.1425,2
      22.0,2,    2.1508,2,   33.8540,2,     328.6,2,       143,     403.0,     0.149,2,    0.1438,2
      24.0,2,    2.1485,2,   33.8542,2,     328.6,2,        60,     409.5,     0.153,2,    0.1438,2
      26.0,2,    2.1487,2,   33.8539,2,     329.2,2,       227,     415.5,     0.155,2,    0.1429,2
      28.0,2,    2.1361,2,   33.8539,2,     329.4,2,        48,     421.3,     0.158,2,    0.1433,2
      30.0,2,    2.1354,2,   33.8537,2,     329.8,2,       144,     427.1,     0.154,2,    0.1429,2
      32.0,2,    2.1351,2,   33.8539,2,     329.7,2,        83,     433.6,     0.153,2,    0.1425,2
      34.0,2,    2.1363,2,   33.8538,2,     330.0,2,       132,     438.7,     0.152,2,    0.1433,2
      36.0,2,    2.1287,2,   33.8541,2,     328.4,2,        47,     445.3,     0.151,2,    0.1442,2
      38.0,2,    2.1277,2,   33.8536,2,     330.8,2,       120,     450.2,     0.152,2,    0.1442,2
      40.0,2,    2.1264,2,   33.8538,2,     329.8,2,       142,     457.8,     0.154,2,    0.1438,2
      42.0,2,    2.1230,2,   33.8534,2,     329.5,2,       156,     464.0,     0.157,2,    0.1446,2
      44.0,2,    2.1205,2,   33.8534,2,     329.7,2,        84,     469.0,     0.155,2,    0.1458,2
