CTD,20171109CCHSIO
# SHIP: Roger Revelle
# Cruise: I8S.2007
# DATES: 20070204 - 20070317
# Region: far SE Indian Ocean
# Chief Scientist: J.Swift, A. Wong
# CTDO: Who - James Swift/SIO; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327 stations 1:68,83:88
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:490 stations 69:82
# CDOM Fluorometer (CTDCDOMFRAW) : Who - Norm Nelson-UCSB, Dave Siegel-UCSB; Status - final
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm; SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070204
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
# EVENT_CODE = unknown
# DEPTH_TYPE = unknown
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# Changed SECT_ID value from I8S to I08S to match CCHDO Lines
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: 07402_ct1.csv 
# CTD,20070314SIO - Previous Time Stamp 
NUMBER_HEADERS = 11
EXPOCODE = 33RR20070204
SECT_ID = I08S
STNNBR = 74
CASTNO = 2
DATE = 20070309
TIME = 1356
LATITUDE = -35.4977
LONGITUDE = 94.9911
DEPTH =  4021
INSTRUMENT_ID = 381
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,0-5VDC,,/METER,
       0.0,2,   17.1080,2,   34.9806,2,     242.5,2,         1,     247.1,     0.146,2,    0.1741,2
       2.0,2,   17.1087,2,   34.9806,2,     243.0,2,        24,     249.8,     0.145,2,    0.1704,2
       4.0,2,   17.1094,2,   34.9806,2,     243.5,2,        84,     252.5,     0.145,2,    0.1662,2
       6.0,2,   17.1108,2,   34.9806,2,     244.2,2,       168,     258.8,     0.148,2,    0.1645,2
       8.0,2,   17.1128,2,   34.9820,2,     244.9,2,       132,     265.0,     0.145,2,    0.1637,2
      10.0,2,   17.1120,2,   34.9818,2,     245.1,2,       144,     270.8,     0.146,2,    0.1629,2
      12.0,2,   17.1159,2,   34.9820,2,     245.4,2,       144,     276.8,     0.145,2,    0.1629,2
      14.0,2,   17.1156,2,   34.9820,2,     245.8,2,       156,     283.0,     0.146,2,    0.1633,2
      16.0,2,   17.1128,2,   34.9817,2,     245.9,2,       107,     288.5,     0.143,2,    0.1645,2
      18.0,2,   17.0988,2,   34.9801,2,     246.3,2,       141,     294.5,     0.146,2,    0.1675,2
      20.0,2,   17.0428,2,   34.9754,2,     246.3,2,       142,     300.8,     0.142,2,    0.1729,2
      22.0,2,   17.0192,2,   34.9734,2,     246.2,2,       130,     307.1,     0.147,2,    0.1783,2
      24.0,2,   17.0051,2,   34.9724,2,     246.6,2,       132,     312.5,     0.149,2,    0.1812,2
      26.0,2,   17.0028,2,   34.9723,2,     246.6,2,       156,     318.5,     0.148,2,    0.1829,2
      28.0,2,   16.9963,2,   34.9716,2,     246.8,2,       132,     324.5,     0.145,2,    0.1846,2
      30.0,2,   16.9907,2,   34.9711,2,     246.9,2,        96,     330.0,     0.146,2,    0.1854,2
      32.0,2,   16.9879,2,   34.9710,2,     246.9,2,        72,     335.8,     0.144,2,    0.1859,2
      34.0,2,   16.9878,2,   34.9713,2,     246.8,2,       120,     341.5,     0.150,2,    0.1850,2
      36.0,2,   16.9884,2,   34.9723,2,     246.8,2,       132,     348.5,     0.147,2,    0.1846,2
      38.0,2,   16.9883,2,   34.9721,2,     246.5,2,       168,     354.8,     0.145,2,    0.1842,2
      40.0,2,   16.9894,2,   34.9731,2,     246.6,2,        72,     359.8,     0.146,2,    0.1829,2
      42.0,2,   16.9868,2,   34.9723,2,     246.6,2,       108,     365.8,     0.145,2,    0.1812,2
      44.0,2,   16.9875,2,   34.9733,2,     246.4,2,       132,     372.5,     0.145,2,    0.1796,2
