CTD,20171109CCHSIO
# SHIP: Roger Revelle
# Cruise: I8S.2007
# DATES: 20070204 - 20070317
# Region: far SE Indian Ocean
# Chief Scientist: J.Swift, A. Wong
# CTDO: Who - James Swift/SIO; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327 stations 1:68,83:88
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:490 stations 69:82
# CDOM Fluorometer (CTDCDOMFRAW) : Who - Norm Nelson-UCSB, Dave Siegel-UCSB; Status - final
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm; SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070204
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
# EVENT_CODE = unknown
# DEPTH_TYPE = unknown
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# Changed SECT_ID value from I8S to I08S to match CCHDO Lines
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: 05603_ct1.csv 
# CTD,20070314SIO - Previous Time Stamp 
NUMBER_HEADERS = 11
EXPOCODE = 33RR20070204
SECT_ID = I08S
STNNBR = 56
CASTNO = 3
DATE = 20070304
TIME = 0621
LATITUDE = -44.4889
LONGITUDE = 95.0274
DEPTH =  3192
INSTRUMENT_ID = 381
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,0-5VDC,,/METER,
       0.0,2,   11.3589,2,   34.3719,2,     270.9,2,         1,     279.7,     0.148,2, -999.0000,9
       2.0,2,   11.3566,2,   34.3807,2,     270.6,2,        45,     293.3,     0.146,2, -999.0000,9
       4.0,2,   11.3542,2,   34.3895,2,     270.5,2,       144,     306.9,     0.144,2,    0.1243,2
       6.0,2,   11.3495,2,   34.3909,2,     270.9,2,       192,     324.5,     0.147,2,    0.1247,2
       8.0,2,   11.3452,2,   34.3935,2,     271.6,2,       168,     338.1,     0.145,2,    0.1255,2
      10.0,2,   11.3418,2,   34.3962,2,     272.6,2,       132,     349.4,     0.145,2,    0.1305,2
      12.0,2,   11.3340,2,   34.3997,2,     272.7,2,       156,     361.4,     0.145,2,    0.1409,2
      14.0,2,   11.3230,2,   34.4017,2,     272.5,2,       120,     372.8,     0.144,2,    0.1529,2
      16.0,2,   11.3148,2,   34.4022,2,     272.9,2,       120,     386.0,     0.141,2,    0.1700,2
      18.0,2,   11.3105,2,   34.4025,2,     272.3,2,       156,     399.9,     0.145,2,    0.1875,2
      20.0,2,   11.3062,2,   34.4028,2,     273.2,2,       180,     413.9,     0.144,2,    0.1951,2
      22.0,2,   11.3033,2,   34.4029,2,     272.8,2,        84,     424.3,     0.149,2,    0.1926,2
      24.0,2,   11.3013,2,   34.4028,2,     273.3,2,        96,     436.2,     0.150,2,    0.1854,2
      26.0,2,   11.3033,2,   34.4025,2,     272.4,2,       168,     451.4,     0.151,2,    0.1741,2
      28.0,2,   11.2908,2,   34.4023,2,     272.6,2,        95,     461.5,     0.145,2,    0.1583,2
      30.0,2,   11.2856,2,   34.4022,2,     273.3,2,       144,     475.0,     0.146,2,    0.1400,2
      32.0,2,   11.2824,2,   34.4022,2,     272.9,2,        96,     489.5,     0.146,2,    0.1264,2
      34.0,2,   11.2823,2,   34.4023,2,     273.1,2,       108,     501.0,     0.143,2,    0.1173,2
      36.0,2,   11.2861,2,   34.4024,2,     272.7,2,       132,     512.9,     0.146,2,    0.1107,2
      38.0,2,   11.2860,2,   34.4021,2,     273.0,2,       216,     523.3,     0.149,2,    0.1078,2
      40.0,2,   11.2795,2,   34.4021,2,     273.1,2,        82,     532.3,     0.150,2,    0.1066,2
      42.0,2,   11.2771,2,   34.4022,2,     273.0,2,        96,     542.1,     0.148,2,    0.1062,2
      44.0,2,   11.2724,2,   34.4019,2,     274.3,2,        59,     553.0,     0.151,2,    0.1087,2
      46.0,2,   11.2741,2,   34.4020,2,     273.3,2,       104,     565.9,     0.149,2,    0.1095,2
      48.0,2,   11.2755,2,   34.4018,2,     273.6,2,       178,     579.7,     0.147,2,    0.1087,2
      50.0,2,   11.2605,2,   34.4017,2,     273.9,2,        83,     589.4,     0.145,2,    0.1074,2
      52.0,2,   11.2612,2,   34.4016,2,     273.6,2,        84,     607.2,     0.143,2,    0.1058,2
      54.0,2,   11.2574,2,   34.4014,2,     273.6,2,       107,     620.8,     0.147,2,    0.1046,2
      56.0,2,   11.2335,2,   34.4001,2,     272.6,2,        59,     635.4,     0.149,2,    0.1058,2
      58.0,2,   11.1999,2,   34.3997,2,     273.1,2,        94,     647.9,     0.146,2,    0.1078,2
      60.0,2,   11.2201,2,   34.4003,2,     272.3,2,       106,     663.9,     0.150,2,    0.1087,2
      62.0,2,   11.2043,2,   34.3996,2,     273.1,2,       132,     676.1,     0.149,2,    0.1111,2
      64.0,2,   11.0824,2,   34.4022,2,     273.5,2,       247,     690.1,     0.149,2,    0.1161,2
      66.0,2,   10.8897,2,   34.3984,2,     274.0,2,        84,     699.7,     0.149,2,    0.1181,2
      68.0,2,   10.8770,2,   34.3989,2,     273.0,2,       212,     713.4,     0.153,2,    0.1144,2
      70.0,2,   10.8179,2,   34.3987,2,     273.1,2,       107,     723.7,     0.152,2,    0.1074,2
      72.0,2,   10.8049,2,   34.3983,2,     273.3,2,        71,     734.1,     0.152,2,    0.1017,2
      74.0,2,   10.7699,2,   34.3953,2,     272.1,2,       167,     747.2,     0.151,2,    0.0988,2
      76.0,2,   10.7445,2,   34.3935,2,     272.5,2,        95,     756.8,     0.152,2,    0.0951,2
      78.0,2,   10.7230,2,   34.3969,2,     271.5,2,       142,     767.2,     0.148,2,    0.0890,2
      80.0,2,   10.6701,2,   34.3961,2,     270.9,2,       168,     778.4,     0.154,2,    0.0833,2
      82.0,2,   10.6187,2,   34.3953,2,     270.7,2,        60,     788.6,     0.149,2,    0.0816,2
      84.0,2,   10.5532,2,   34.3942,2,     272.2,2,       105,     799.1,     0.152,2,    0.0816,2
      86.0,2,   10.4753,2,   34.3913,2,     272.4,2,        94,     808.8,     0.152,2,    0.0812,2
      88.0,2,   10.4313,2,   34.3916,2,     272.4,2,        95,     818.8,     0.150,2,    0.0800,2
      90.0,2,   10.4313,2,   34.3927,2,     273.7,2,        70,     829.4,     0.154,2,    0.0780,2
      92.0,2,   10.3856,2,   34.3932,2,     271.8,2,        59,     837.5,     0.155,2,    0.0759,2
      94.0,2,   10.4068,2,   34.3929,2,     271.4,2,       129,     850.4,     0.153,2,    0.0747,2
      96.0,2,   10.3669,2,   34.3904,2,     271.4,2,       151,     863.8,     0.155,2,    0.0731,2
      98.0,2,   10.1015,2,   34.3857,2,     272.0,2,        82,     874.5,     0.158,2,    0.0702,2
     100.0,2,    9.9784,2,   34.3800,2,     271.7,2,        35,     883.0,     0.158,2,    0.0674,2
     102.0,2,    9.8420,2,   34.3824,2,     271.6,2,       116,     894.7,     0.157,2,    0.0657,2
     104.0,2,    9.7687,2,   34.3825,2,     271.3,2,        82,     914.3,     0.154,2,    0.0645,2
     106.0,2,    9.6972,2,   34.3834,2,     272.3,2,       107,     926.7,     0.156,2,    0.0641,2
     108.0,2,    9.5697,2,   34.3852,2,     270.8,2,       118,     941.2,     0.157,2,    0.0645,2
     110.0,2,    9.5124,2,   34.3851,2,     269.5,2,        95,     950.8,     0.156,2,    0.0645,2
     112.0,2,    9.4427,2,   34.3838,2,     271.3,2,        72,     961.0,     0.157,2,    0.0637,2
     114.0,2,    9.4076,2,   34.3815,2,     269.7,2,       155,     972.2,     0.156,2,    0.0625,2
     116.0,2,    9.2796,2,   34.3780,2,     271.2,2,        94,     982.3,     0.159,2,    0.0605,2
     118.0,2,    9.2583,2,   34.3774,2,     269.9,2,       156,     994.7,     0.156,2,    0.0584,2
     120.0,2,    9.2127,2,   34.3777,2,     269.2,2,       189,    1004.6,     0.158,2,    0.0568,2
     122.0,2,    9.1087,2,   34.3809,2,     267.5,2,       216,    1015.2,     0.159,2,    0.0540,2
     124.0,2,    9.0504,2,   34.3825,2,     269.6,2,        71,    1021.8,     0.159,2,    0.0519,2
     126.0,2,    9.0162,2,   34.3837,2,     269.7,2,        96,    1031.6,     0.158,2,    0.0511,2
