CTD,20171109CCHSIO
# SHIP: Roger Revelle
# Cruise: I8S.2007
# DATES: 20070204 - 20070317
# Region: far SE Indian Ocean
# Chief Scientist: J.Swift, A. Wong
# CTDO: Who - James Swift/SIO; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327 stations 1:68,83:88
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:490 stations 69:82
# CDOM Fluorometer (CTDCDOMFRAW) : Who - Norm Nelson-UCSB, Dave Siegel-UCSB; Status - final
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm; SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070204
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
# EVENT_CODE = unknown
# DEPTH_TYPE = unknown
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# Changed SECT_ID value from I8S to I08S to match CCHDO Lines
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: 02502_ct1.csv 
# CTD,20070314SIO - Previous Time Stamp 
NUMBER_HEADERS = 11
EXPOCODE = 33RR20070204
SECT_ID = I08S
STNNBR = 25
CASTNO = 2
DATE = 20070221
TIME = 1259
LATITUDE = -57.5126
LONGITUDE = 82.5231
DEPTH =  4439
INSTRUMENT_ID = 381
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,0-5VDC,,/METER,
       0.0,2,    1.9346,2,   33.9257,2,     329.0,2,         1,     208.8,     0.159,2,    0.1550,2
       2.0,2,    1.9342,2,   33.9253,2,     329.6,2,         1,     223.2,     0.158,2,    0.1541,2
       4.0,2,    1.9339,2,   33.9249,2,     329.7,2,        84,     237.5,     0.157,2,    0.1529,2
       6.0,2,    1.9335,2,   33.9245,2,     329.9,2,       156,     251.9,     0.156,2,    0.1521,2
       8.0,2,    1.9325,2,   33.9250,2,     330.8,2,        96,     265.5,     0.153,2,    0.1521,2
      10.0,2,    1.9324,2,   33.9251,2,     329.9,2,        60,     272.0,     0.159,2,    0.1521,2
      12.0,2,    1.9327,2,   33.9248,2,     330.8,2,       108,     277.9,     0.156,2,    0.1521,2
      14.0,2,    1.9325,2,   33.9247,2,     331.1,2,       168,     284.7,     0.155,2,    0.1516,2
      16.0,2,    1.9326,2,   33.9250,2,     330.8,2,        48,     289.8,     0.152,2,    0.1529,2
      18.0,2,    1.9329,2,   33.9247,2,     331.3,2,        96,     295.0,     0.157,2,    0.1541,2
      20.0,2,    1.9332,2,   33.9246,2,     331.3,2,       144,     301.3,     0.160,2,    0.1525,2
      22.0,2,    1.9333,2,   33.9249,2,     331.6,2,        84,     306.7,     0.159,2,    0.1512,2
      24.0,2,    1.9338,2,   33.9252,2,     331.2,2,        48,     313.3,     0.154,2,    0.1512,2
      26.0,2,    1.9335,2,   33.9248,2,     331.8,2,       108,     319.2,     0.157,2,    0.1529,2
      28.0,2,    1.9333,2,   33.9247,2,     331.2,2,       108,     325.0,     0.157,2,    0.1541,2
      30.0,2,    1.9327,2,   33.9248,2,     331.5,2,        84,     331.2,     0.153,2,    0.1533,2
      32.0,2,    1.9312,2,   33.9249,2,     331.0,2,        72,     335.9,     0.153,2,    0.1521,2
      34.0,2,    1.9304,2,   33.9251,2,     330.8,2,       120,     344.0,     0.156,2,    0.1529,2
      36.0,2,    1.9296,2,   33.9252,2,     331.7,2,       120,     350.3,     0.154,2,    0.1537,2
      38.0,2,    1.9304,2,   33.9251,2,     331.7,2,        84,     354.5,     0.155,2,    0.1537,2
      40.0,2,    1.9300,2,   33.9251,2,     332.7,2,        59,     361.5,     0.155,2,    0.1541,2
      42.0,2,    1.9294,2,   33.9248,2,     331.4,2,       155,     367.0,     0.156,2,    0.1545,2
      44.0,2,    1.9291,2,   33.9251,2,     330.9,2,        60,     373.0,     0.152,2,    0.1562,2
      46.0,2,    1.9196,2,   33.9256,2,     330.5,2,        83,     378.1,     0.155,2,    0.1587,2
      48.0,2,    1.9200,2,   33.9258,2,     331.4,2,       120,     385.6,     0.154,2,    0.1583,2
      50.0,2,    1.9191,2,   33.9256,2,     331.8,2,        70,     390.8,     0.157,2,    0.1570,2
      52.0,2,    1.9109,2,   33.9261,2,     331.2,2,       108,     395.5,     0.154,2,    0.1591,2
      54.0,2,    1.8990,2,   33.9269,2,     330.8,2,        82,     402.4,     0.158,2,    0.1625,2
