CTD,20171109CCHSIO
# SHIP: Roger Revelle
# Cruise: I8S.2007
# DATES: 20070204 - 20070317
# Region: far SE Indian Ocean
# Chief Scientist: J.Swift, A. Wong
# CTDO: Who - James Swift/SIO; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327 stations 1:68,83:88
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:490 stations 69:82
# CDOM Fluorometer (CTDCDOMFRAW) : Who - Norm Nelson-UCSB, Dave Siegel-UCSB; Status - final
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm; SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070204
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
# EVENT_CODE = unknown
# DEPTH_TYPE = unknown
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# DATE_UNITS: YYYYMMDD
# TIME_UNITS = HHMM
# Changed SECT_ID value from I8S to I08S to match CCHDO Lines
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: 02901_ct1.csv 
# CTD,20070314SIO - Previous Time Stamp 
NUMBER_HEADERS = 11
EXPOCODE = 33RR20070204
SECT_ID = I08S
STNNBR = 29
CASTNO = 1
DATE = 20070222
TIME = 1846
LATITUDE = -56.0580
LONGITUDE = 84.2611
DEPTH =  4765
INSTRUMENT_ID = 381
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDNOBS,CTDETIME,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,,,0-5VDC,,/METER,
       0.0,2,    4.0350,2,   33.8592,2,     309.4,2,         1,     412.6,     0.153,2, -999.0000,9
       2.0,2,    4.0350,2,   33.8597,2,     311.6,2,         1,     464.2,     0.154,2, -999.0000,9
       4.0,2,    4.0350,2,   33.8603,2,     311.9,2,       120,     515.8,     0.155,2, -999.0000,9
       6.0,2,    4.0350,2,   33.8609,2,     312.1,2,       143,     567.4,     0.156,2, -999.0000,9
       8.0,2,    4.0350,2,   33.8607,2,     311.8,2,       119,     573.8,     0.155,2,    0.1173,2
      10.0,2,    4.0353,2,   33.8607,2,     309.1,2,       180,     580.0,     0.157,2,    0.1181,2
      12.0,2,    4.0352,2,   33.8609,2,     311.9,2,        60,     585.0,     0.158,2,    0.1198,2
      14.0,2,    4.0355,2,   33.8607,2,     313.6,2,       120,     590.0,     0.158,2,    0.1190,2
      16.0,2,    4.0354,2,   33.8609,2,     310.9,2,        72,     595.2,     0.159,2,    0.1148,2
      18.0,2,    4.0358,2,   33.8608,2,     311.0,2,       168,     600.2,     0.157,2,    0.1136,2
      20.0,2,    4.0358,2,   33.8608,2,     314.1,2,        60,     605.0,     0.152,2,    0.1140,2
      22.0,2,    4.0359,2,   33.8612,2,     310.5,2,        60,     607.5,     0.156,2,    0.1103,2
      24.0,2,    4.0362,2,   33.8608,2,     308.2,2,        84,     612.6,     0.153,2,    0.1095,2
      26.0,2,    4.0362,2,   33.8607,2,     309.7,2,        72,     616.8,     0.158,2,    0.1107,2
      28.0,2,    4.0364,2,   33.8608,2,     311.5,2,        60,     619.5,     0.158,2, -999.0000,9
      30.0,2,    4.0366,2,   33.8614,2,     309.3,2,        60,     625.0,     0.157,2,    0.1070,2
      32.0,2,    4.0366,2,   33.8609,2,     312.3,2,        84,     628.0,     0.153,2,    0.1033,2
      34.0,2,    4.0365,2,   33.8612,2,     311.6,2,        84,     632.0,     0.156,2,    0.1029,2
      36.0,2,    4.0366,2,   33.8613,2,     308.4,2,        24,     637.2,     0.156,2,    0.1005,2
      38.0,2,    4.0367,2,   33.8606,2,     310.1,2,        72,     640.1,     0.157,2,    0.0988,2
      40.0,2,    4.0368,2,   33.8605,2,     310.7,2,        72,     644.8,     0.160,2,    0.0980,2
      42.0,2,    4.0370,2,   33.8605,2,     311.6,2,        96,     648.2,     0.156,2,    0.0968,2
      44.0,2,    4.0378,2,   33.8620,2,     312.4,2,       108,     652.5,     0.155,2,    0.0955,2
