CTD,20171109CCHSIO
# SHIP: R/V Roger Revelle
# Cruise: I09N; CLIVAR
# DATES: 20070322 - 20070501
# Region: East Indian Ocean
# Chief Scientist: Janet Sprintall
# CTDO: Who - James Swift,Janet Sprintall; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327
# CDOM Fluorometer : Who - Norm Nelson-UCSB ; Status - final 
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm;  SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070322
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
#
# DATE_UNITS = YYYYMMDD
# TIME_UNITS = HHMM
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# SECT_ID: changed header SECT to SECT_ID
# SECT_ID: changed value from I9N to I09N to match CCHDO collection
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: i9n_00179_00001_ct1.csv 
# CTD,20070814WHPOSIOSCD - Previous Time Stamp 
#    Software Version: CTD_Exchange_Encode_v2.0(CCHDO/Diggs)
#    SUMFILE_NAME:     i09n_33RR20070322su.txt
#    SUMFILE_MOD_DATE: Tue Aug 14 12:54:02 2007
#    CTDFILE_NAME:     NEWCTD/17901.ctd
#    CTDFILE_MOD_DATE: Tue Aug 14 20:51:56 2007
#    DEPTH_TYPE      : UNC
#    EVENT_CODE      : BO
NUMBER_HEADERS = 10
EXPOCODE = 33RR20070322
SECT_ID = I09N
STNNBR = 179
CASTNO = 1
DATE = 20070422
TIME = 0323
LATITUDE = 8.2663
LONGITUDE = 86.0062
DEPTH =   3696
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,/METER,
       0.0,6,   29.8202,6,   33.6271,6,     196.3,6,     0.133,1,    0.0354,2
       2.0,2,   29.8198,2,   33.6268,2,     196.4,7,     0.134,1,    0.0354,2
       4.0,2,   29.8194,2,   33.6264,2,     196.5,7,     0.135,1,    0.0354,2
       6.0,2,   29.8187,2,   33.6266,2,     196.9,2,     0.134,1,    0.0354,2
       8.0,2,   29.8198,2,   33.6266,2,     197.0,2,     0.133,1,    0.0354,2
      10.0,2,   29.8083,2,   33.6271,2,     197.3,2,     0.134,1,    0.0354,2
      12.0,2,   29.7530,2,   33.6302,2,     197.6,2,     0.132,1,    0.0358,2
      14.0,2,   29.6116,2,   33.6353,2,     198.2,2,     0.130,1,    0.0362,2
      16.0,2,   29.4611,2,   33.6386,2,     198.5,2,     0.133,1,    0.0374,2
      18.0,2,   29.4253,2,   33.6399,2,     198.9,2,     0.130,1,    0.0386,2
      20.0,2,   29.3850,2,   33.6415,2,     198.8,2,     0.139,1,    0.0394,2
      22.0,2,   29.3708,2,   33.6421,2,     199.3,2,     0.136,1,    0.0394,2
      24.0,2,   29.3452,2,   33.6443,2,     199.5,2,     0.135,1,    0.0390,2
      26.0,2,   29.3108,2,   33.6465,2,     199.4,2,     0.134,1,    0.0386,2
      28.0,2,   29.2879,2,   33.6496,2,     199.6,2,     0.134,1,    0.0378,2
      30.0,2,   29.2795,2,   33.6560,2,     199.0,2,     0.134,1,    0.0374,2
      32.0,2,   29.2785,2,   33.6668,2,     199.2,2,     0.139,1,    0.0378,2
      34.0,2,   29.2403,2,   33.6782,2,     198.8,2,     0.134,1,    0.0382,2
      36.0,2,   29.0966,2,   33.7192,2,     197.9,2,     0.139,1,    0.0390,2
      38.0,2,   29.0112,2,   33.7437,2,     197.0,2,     0.144,1,    0.0402,2
      40.0,2,   28.6478,2,   33.8240,2,     196.6,2,     0.148,1,    0.0434,2
      42.0,2,   28.1074,2,   33.9870,2,     193.7,2,     0.154,1,    0.0487,2
      44.0,2,   27.6542,2,   34.0914,2,     186.3,2,     0.162,1,    0.0544,2
      46.0,2,   27.4803,2,   34.1075,2,     183.5,2,     0.161,1,    0.0564,2
      48.0,2,   27.3456,2,   34.1265,2,     181.8,2,     0.163,1,    0.0556,2
      50.0,2,   27.2748,2,   34.1363,2,     177.9,2,     0.169,1,    0.0552,2
      52.0,2,   27.1756,2,   34.1410,2,     175.4,2,     0.165,1,    0.0552,2
      54.0,2,   27.1304,2,   34.1436,2,     174.0,2,     0.167,1,    0.0544,2
      56.0,2,   27.0356,2,   34.1467,2,     172.2,2,     0.172,1,    0.0532,2
      58.0,2,   26.6394,2,   34.1687,2,     167.2,2,     0.171,1,    0.0515,2
