CTD,20171109CCHSIO
# SHIP: R/V Roger Revelle
# Cruise: I09N; CLIVAR
# DATES: 20070322 - 20070501
# Region: East Indian Ocean
# Chief Scientist: Janet Sprintall
# CTDO: Who - James Swift,Janet Sprintall; Status - final
# Transmissometer (CTDBEAMCP): Who - W.Gardner, TAMU; Status - final
#        Notes: beam attenuation units, 1/m
#        Instrument: Wetlabs C-Star Transmissometer, 660 nm 0.25m pathlength, SN:327
# CDOM Fluorometer : Who - Norm Nelson-UCSB ; Status - final 
#        Instrument: Wetlabs CDOM Fluorometer; Ex 370 nm, Em 460 nm;  SN:FLCDRTD-428
# References:
#        Cruise report available at http://cchdo.ucsd.edu/cruise/33RR20070322
#
# The CTD data included in these files have been made available
# for public use by the PI(s) listed above.  Please see the
# on-line data history for this cruise at http://cchdo.ucsd.edu.
# Following American Geophysical Union recommendations, the data
# should be cited as: "data provider(s), cruise name or cruise ID,
# data file name(s), CLIVAR and Carbon Hydrographic Data Office,
# La Jolla, CA, USA, and data file date." For further information,
# please contact one of the parties listed above or cchdo@ucsd.edu.
# Users are also requested to acknowledge the PI(s) in publications
# resulting from use of these data.
#
# DATE_UNITS = YYYYMMDD
# TIME_UNITS = HHMM
# LATITUDE_UNITS = degrees_North
# LONGITUDE_UNITS = degrees_East
# SECT_ID: changed header SECT to SECT_ID
# SECT_ID: changed value from I9N to I09N to match CCHDO collection
# Parameters removed from Exchange file: TRANSM,TRANSM_FLAG_W
# CTDCDOMFRAW_FLAG_W: Changed parameter name from FLUORM_FLAG_W to CTDCDOMFRAW_FLAG_W
# CTDCDOMFRAW: Changed parameter name from FLUORM to CTDCDOMFRAW
# Parameters merged into Exchange file: CTDBEAMCP,CTDBEAMCP_FLAG_W
# Previous file name: i9n_00158_00001_ct1.csv 
# CTD,20070814WHPOSIOSCD - Previous Time Stamp 
#    Software Version: CTD_Exchange_Encode_v2.0(CCHDO/Diggs)
#    SUMFILE_NAME:     i09n_33RR20070322su.txt
#    SUMFILE_MOD_DATE: Tue Aug 14 12:54:02 2007
#    CTDFILE_NAME:     NEWCTD/15801.ctd
#    CTDFILE_MOD_DATE: Tue Aug 14 20:51:55 2007
#    DEPTH_TYPE      : UNC
#    EVENT_CODE      : BO
NUMBER_HEADERS = 10
EXPOCODE = 33RR20070322
SECT_ID = I09N
STNNBR = 158
CASTNO = 1
DATE = 20070416
TIME = 0526
LATITUDE = 4.6543
LONGITUDE = 90.7628
DEPTH =   3225
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDCDOMFRAW,CTDCDOMFRAW_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,/METER,
       0.0,6,   30.1300,6,   34.0342,6,     194.9,6,     0.123,1,    0.0370,2
       2.0,2,   30.0915,2,   34.0334,2,     195.1,7,     0.126,1,    0.0370,2
       4.0,2,   30.0531,2,   34.0327,2,     195.4,7,     0.130,1,    0.0370,2
       6.0,2,   30.0428,2,   34.0322,2,     195.5,7,     0.127,1,    0.0374,2
       8.0,2,   30.0218,2,   34.0318,2,     196.2,2,     0.126,1,    0.0386,2
      10.0,2,   30.0169,2,   34.0316,2,     197.1,2,     0.124,1,    0.0390,2
      12.0,2,   30.0129,2,   34.0317,2,     197.0,2,     0.125,1,    0.0390,2
      14.0,2,   30.0099,2,   34.0318,2,     197.1,2,     0.127,1,    0.0394,2
      16.0,2,   30.0009,2,   34.0325,2,     197.4,2,     0.126,1,    0.0402,2
      18.0,2,   29.9678,2,   34.0355,2,     198.2,2,     0.124,1,    0.0422,2
      20.0,2,   29.9070,2,   34.0371,2,     198.6,2,     0.130,1,    0.0455,2
      22.0,2,   29.8581,2,   34.0415,2,     199.0,2,     0.133,1,    0.0471,2
      24.0,2,   29.8242,2,   34.0614,2,     199.4,2,     0.133,1,    0.0479,2
      26.0,2,   29.8037,2,   34.0748,2,     200.0,2,     0.133,1,    0.0495,2
      28.0,2,   29.7093,2,   34.1332,2,     200.1,2,     0.131,1,    0.0523,2
      30.0,2,   29.6302,2,   34.1698,2,     200.1,2,     0.129,1,    0.0544,2
      32.0,2,   29.5492,2,   34.2035,2,     200.3,2,     0.131,1,    0.0552,2
      34.0,2,   29.4968,2,   34.2207,2,     200.1,2,     0.130,1,    0.0556,2
      36.0,2,   29.3437,2,   34.2696,2,     200.3,2,     0.131,1,    0.0568,2
      38.0,2,   29.1335,2,   34.3395,2,     200.0,2,     0.131,1,    0.0572,2
      40.0,2,   28.7598,2,   34.4408,2,     199.4,2,     0.138,1,    0.0609,2
      42.0,2,   27.6995,2,   34.7122,2,     195.8,2,     0.150,1,    0.0698,2
      44.0,2,   27.3549,2,   34.8438,2,     187.9,2,     0.160,1,    0.0775,2
      46.0,2,   27.2234,2,   34.9006,2,     184.8,2,     0.164,1,    0.0780,2
      48.0,2,   26.2420,2,   34.7988,2,     172.3,2,     0.166,1,    0.0718,2
      50.0,2,   25.6885,2,   34.7369,2,     149.7,2,     0.169,1,    0.0633,2
      52.0,2,   25.1870,2,   34.7088,2,     140.2,2,     0.168,1,    0.0556,2
      54.0,2,   24.7388,2,   34.6543,2,     122.5,2,     0.171,1,    0.0515,2
      56.0,2,   24.6964,2,   34.6510,2,     114.0,2,     0.174,1,    0.0503,2
